epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,872.249,0.8984,0.94684,1.06569,0.81596,0.76224,0.84775,0.64729,0.88758,3.28812,1.01472,0.00333116,0.00333116,0.00333116
2,1686.18,0.90474,0.79409,1.03935,0.79017,0.73705,0.81939,0.5987,0.98457,1.63927,1.03562,0.00662051,0.00662051,0.00662051
3,2458.3,0.97961,0.86762,1.07743,0.7878,0.78884,0.84299,0.62963,0.92259,2.6232,1.05599,0.00986586,0.00986586,0.00986586
4,3228.83,0.99979,0.88154,1.10127,0.8035,0.80487,0.86133,0.63027,0.93403,2.28788,1.04182,0.009802,0.009802,0.009802
5,4000.39,0.96114,0.82889,1.07851,0.77847,0.79806,0.85066,0.61743,0.97752,2.85311,1.06152,0.009736,0.009736,0.009736
6,4771.23,0.9298,0.78246,1.0634,0.79778,0.80727,0.86058,0.65207,0.88426,2.00784,1.02112,0.00967,0.00967,0.00967
7,5542.64,0.90773,0.7518,1.05314,0.8299,0.83925,0.89968,0.68921,0.86496,1.86239,1.0208,0.009604,0.009604,0.009604
8,6313.85,0.8892,0.73069,1.04169,0.81936,0.83318,0.89604,0.68934,0.86315,1.33866,1.0043,0.009538,0.009538,0.009538
9,7086.08,0.87485,0.71174,1.03766,0.79725,0.83317,0.87139,0.65157,0.88366,2.0299,1.0231,0.009472,0.009472,0.009472
10,7857.04,0.86752,0.69742,1.03294,0.83046,0.83435,0.90467,0.70839,0.83318,1.24788,0.98278,0.009406,0.009406,0.009406
11,8628.56,0.85529,0.67821,1.02061,0.83103,0.83897,0.90443,0.71008,0.81381,1.48564,0.97718,0.00934,0.00934,0.00934
12,9399.97,0.83859,0.65865,1.01453,0.8378,0.84904,0.90845,0.71569,0.80248,1.54713,0.98263,0.009274,0.009274,0.009274
13,10172.2,0.83327,0.65617,1.01295,0.83793,0.85773,0.9145,0.7254,0.79773,1.27557,0.96897,0.009208,0.009208,0.009208
14,10943.7,0.82877,0.64244,1.00679,0.8423,0.84794,0.91727,0.73376,0.78932,1.1681,0.96526,0.009142,0.009142,0.009142
15,11715.5,0.825,0.64022,1.00697,0.85493,0.85952,0.924,0.74252,0.77857,1.42431,0.96082,0.009076,0.009076,0.009076
16,12486.9,0.81979,0.63056,1.00308,0.84893,0.85917,0.92286,0.73371,0.77239,1.36852,0.95555,0.00901,0.00901,0.00901
17,13259.8,0.81222,0.62986,1.00311,0.8433,0.86156,0.92383,0.735,0.77562,1.26546,0.95809,0.008944,0.008944,0.008944
18,14035.3,0.8098,0.62385,0.99929,0.84733,0.8632,0.92203,0.74,0.77737,1.53848,0.96539,0.008878,0.008878,0.008878
